Date,Consumption,Income,Production,Savings,Unemployment
01/01/1970,0.6185664,1.044801332,-2.452485527,5.299014071,0.9
01/04/1970,0.451984019,1.225647192,-0.551459474,7.789893824,0.5
01/07/1970,0.87287178,1.585153835,-0.358651752,7.403984066,0.5
01/10/1970,-0.271847933,-0.239544865,-2.185690872,1.169898242,0.7
01/01/1971,1.901344959,1.975924949,1.909764364,3.535666928,-0.1
01/04/1971,0.914877346,1.445908528,0.901569522,5.874763572,-0.1
01/07/1971,0.794109641,0.521149113,0.308030708,-0.406235341,0.1
01/10/1971,1.645633164,1.159176094,2.291362138,-1.486258902,0
01/01/1972,1.311189694,0.456856714,4.154294954,-4.291972196,-0.2
01/04/1972,1.885777877,1.033389307,1.888672712,-4.692196362,-0.1
01/07/1972,1.529333612,1.9262949,1.265411446,5.92345399,-0.2
01/10/1972,2.319557542,3.929949222,3.439587472,16.07351412,-0.3
01/01/1973,1.809282167,0.755642728,2.794145253,-4.758983188,-0.3
01/04/1973,-0.045090607,0.84039233,0.832174484,8.615101103,0
01/07/1973,0.351353185,0.451026593,0.858624491,2.948063512,-0.1
01/10/1973,-0.298693387,1.088160784,1.482007949,10.83496394,0.1
01/01/1974,-0.898698756,-1.674191195,-0.886096555,-2.362510823,0.2
01/04/1974,0.359406448,-0.934440314,0.05894791,-6.301854444,0.3
01/07/1974,0.428641009,0.090325599,-0.394930181,0.446635085,0.5
01/10/1974,-1.47250253,-0.133675449,-4.050702226,10.98992843,1.3
01/01/1975,0.835247382,-0.150541834,-6.836039447,-5.177083807,1.4
01/04/1975,1.631487432,4.521868829,-1.3593996,23.73928068,0.2
01/07/1975,1.411240346,-1.464342333,2.425917882,-17.0840985,-0.4
01/10/1975,1.069591575,0.778693589,2.157845492,0.793714669,-0.2
01/01/1976,1.979659497,1.200323331,3.028707655,-2.419488152,-0.6
01/04/1976,0.915845347,0.566352705,1.269914997,-0.972669632,0
01/07/1976,1.047352162,0.777195746,1.327961799,0.393936094,0
01/10/1976,1.289140157,0.63245542,1.787684187,-2.854250493,0.2
01/01/1977,1.171798852,0.224476108,2.053569438,-6.273481578,-0.4
01/04/1977,0.540781433,0.935510359,3.051484792,5.83952627,-0.2
01/07/1977,0.941115611,1.380018717,1.073812649,6.466111969,-0.4
01/10/1977,1.492345137,1.893420745,0.646985569,6.457942727,-0.4
01/01/1978,0.560223073,0.78102057,-0.278779861,3.720105517,-0.1
01/04/1978,2.115329216,1.052862149,3.945432002,-5.773451799,-0.4
01/07/1978,0.419026538,0.774758054,0.868081409,5.14766965,0.1
01/10/1978,0.803702793,0.655688309,1.774009328,1.121138504,0
01/01/1979,0.516596976,1.202750384,0.422538621,8.863894894,-0.2
01/04/1979,-0.064957553,-0.908215554,-0.215841409,-5.207644035,-0.1
01/07/1979,0.968392616,0.453218003,-0.280405783,-1.669891589,0.2
01/10/1979,0.2485126,0.176009243,0.382467226,1.528819253,0.1
01/01/1980,-0.143053621,0.34551266,0.40440077,5.723834194,0.3
01/04/1980,-2.277835537,-0.882966889,-4.337564107,13.30511269,1.3
01/07/1980,1.090975394,1.116963053,-1.65616084,4.55457417,-0.1
01/10/1980,1.342027947,1.367396216,3.775886958,3.699108754,-0.3
01/01/1981,0.334438848,-0.14001995,0.238076698,-2.631988854,0.2
01/04/1981,0.007280757,0.116626493,0.306599947,2.036493355,0.1
01/07/1981,0.461512129,2.133510958,0.957175227,15.76150512,0.1
01/10/1981,-0.686366753,0.10984322,-2.209097724,6.371847879,0.9
01/01/1982,0.733889093,0.24105068,-2.076495542,-2.702817218,0.5
01/04/1982,0.304135405,0.601491451,-1.284207191,2.836175341,0.6
01/07/1982,0.668142359,0.478675531,-1.440086535,0.444567197,0.5
01/10/1982,1.73650662,0.313585025,-1.901437715,-9.51125024,0.7
01/01/1983,0.983848838,0.939211321,1.152771768,1.031687117,-0.5
01/04/1983,2.015812652,0.690658941,2.198514907,-9.984089822,-0.2
01/07/1983,1.777314063,1.489412817,3.371937846,-0.03493963,-0.9
01/10/1983,1.581000309,2.202847842,2.602581269,8.437738412,-0.9
01/01/1984,0.82645055,1.97782374,2.888887154,12.93221036,-0.5
01/04/1984,1.391253912,1.6473468,1.527645023,4.4198933,-0.6
01/07/1984,0.738897677,1.311541646,0.707298398,6.006096598,0.1
01/10/1984,1.287102131,0.813018901,0.049019303,-2.479042713,0
01/01/1985,1.684775865,-0.261338696,0.327899771,-17.76489245,-0.1
01/04/1985,0.913849566,1.928890937,0.066764685,11.57021774,0.2
01/07/1985,1.88152167,-0.313838757,-0.136595664,-21.32135639,-0.3
01/10/1985,0.216096688,1.052373127,0.583797858,9.990718968,-0.1
01/01/1986,0.870018018,1.306420109,0.599733645,6.103187356,0.2
01/04/1986,1.083790022,1.270834958,-0.614932234,2.894626771,0
01/07/1986,1.753563493,0.63549628,0.39142169,-9.574768074,-0.2
01/10/1986,0.611475517,0.152239897,1.140790961,-4.417346272,-0.4
01/01/1987,0.099765471,0.917143363,1.314307943,11.70856969,0
01/04/1987,1.355464431,-0.940300692,1.731591919,-26.1941267,-0.4
01/07/1987,1.134844466,1.774146177,1.851722004,11.23936706,-0.3
01/10/1987,0.21133112,1.339490252,2.407904437,15.41802449,-0.2
01/01/1988,1.751077994,1.456190366,0.902915222,-0.468545324,0
01/04/1988,0.735545061,1.024319623,0.848741331,5.324752153,-0.3
01/07/1988,0.884646175,0.961911801,0.359923262,3.214701086,0
01/10/1988,1.130580294,0.939045185,0.719600737,-0.188659271,-0.1
01/01/1989,0.462870915,1.13206174,0.449894562,8.342605455,-0.3
01/04/1989,0.465699644,-0.295234749,-0.360287835,-7.470240654,0.3
01/07/1989,0.963449293,0.662055069,-0.615658148,-2.15259641,0
01/10/1989,0.433672694,0.842870949,0.428493201,5.737894163,0.1
01/01/1990,0.838072157,0.765048645,0.660588331,2.146660415,-0.2
01/04/1990,0.304152248,0.693535832,0.746016311,6.092415113,0
01/07/1990,0.395372569,-0.03538922,0.416080557,-3.614780871,0.7
01/10/1990,-0.763666137,-0.856436753,-1.560752249,-0.770358512,0.4
01/01/1991,-0.376738178,0.249602448,-1.908421893,6.88377085,0.5
01/04/1991,0.825347484,0.728948664,0.581340856,0.391213689,0.1
01/07/1991,0.497352534,0.407427949,1.405872487,0.363808851,0
01/10/1991,-0.050052318,0.827903714,0.235219928,10.50410602,0.4
01/01/1992,1.855026765,1.992516527,-0.111351,5.592480861,0.1
01/04/1992,0.676545705,0.986750283,1.764750768,4.773222448,0.4
01/07/1992,1.066222066,0.462839913,0.766383645,-5.148747348,-0.2
01/10/1992,1.184840695,0.454412535,1.050647107,-4.193857389,-0.2
01/01/1993,0.382688784,0.373438422,0.882046997,0.416387701,-0.4
01/04/1993,0.905498168,0.308897458,0.227525253,-4.949167534,0
01/07/1993,1.106802421,0.087082874,0.391715249,-10.70557006,-0.3
01/10/1993,0.874023826,0.692552544,1.5060795,-0.957102659,-0.2
01/01/1994,1.137304685,0.658185954,1.232195744,-5.102740483,0
01/04/1994,0.775058503,1.002084044,1.795024016,4.024599671,-0.4
01/07/1994,0.759621956,0.581463835,1.269059564,-2.087324728,-0.2
01/10/1994,1.075324292,1.424745882,2.053797305,6.483345236,-0.4
01/01/1995,0.248574764,0.851213088,1.021175305,8.274293635,-0.1
01/04/1995,0.87284989,0.283146698,0.317168799,-8.615412403,0.2
01/07/1995,0.902152133,0.912092732,0.912135615,0.461205518,0
01/10/1995,0.69514618,0.582726832,0.854118326,-2.365422574,0
01/01/1996,0.918061916,0.942444257,0.671637615,2.33108934,-0.1
01/04/1996,1.070038996,0.91272652,2.12398851,-0.972235551,-0.2
01/07/1996,0.603594205,0.806477785,1.287902695,3.271229076,-0.1
01/10/1996,0.79336064,0.531210907,1.393283482,-2.840709649,0.2
01/01/1997,1.04857312,0.947931845,1.891646384,-0.078042611,-0.2
01/04/1997,0.449184383,0.882316921,1.418508904,6.249030383,-0.2
01/07/1997,1.68940263,1.169845189,2.268711306,-6.448632302,-0.1
01/10/1997,1.188129995,1.46204174,2.476235844,5.565363389,-0.2
01/01/1998,1.006450059,2.083376955,1.117669434,17.57857497,0
01/04/1998,1.7456111,1.365643955,0.671342024,-4.469245063,-0.2
01/07/1998,1.295597395,1.002352702,0.736683729,-2.720049635,0.1
01/10/1998,1.434357907,0.788511864,1.429497031,-8.093515757,-0.2
01/01/1999,0.96559658,0.899890379,1.100163772,2.127356668,-0.2
01/04/1999,1.447471981,0.225012238,0.955558108,-20.56371708,0.1
01/07/1999,1.122359638,0.679935162,0.887012954,-7.881184434,-0.1
01/10/1999,1.454582013,1.490761904,1.754721436,3.024300965,-0.2
01/01/2000,1.524570459,1.896432687,1.005391753,9.432930592,0
01/04/2000,0.961212261,1.099803798,1.202983107,2.601793944,0
01/07/2000,0.977169096,1.154541781,-0.097202735,2.058575078,-0.1
01/10/2000,0.856410133,0.356800394,-0.210948103,-10.02742138,0
01/01/2001,0.399499719,0.902077916,-1.32793979,12.86977302,0.4
01/04/2001,0.236146305,-0.174790342,-1.269771727,-7.131298946,0.2
01/07/2001,0.342130433,2.281184489,-1.388451197,35.6831221,0.5
01/10/2001,1.484245856,-1.271797407,-1.052455306,-48.81355861,0.7
01/01/2002,0.30559198,2.229187726,0.73568983,41.60772977,0
01/04/2002,0.512135579,0.674730481,1.542726968,5.983209009,0.1
01/07/2002,0.721912764,-0.087220108,0.585468231,-11.04827328,-0.1
01/10/2002,0.573051117,0.592006328,-0.022087671,2.283349026,0.3
01/01/2003,0.469223438,0.234893454,0.622053236,-2.237565378,-0.1
01/04/2003,1.116772544,1.211481807,-0.750064756,3.349290028,0.4
01/07/2003,1.456167648,1.675615937,0.66082706,6.843315927,-0.2
01/10/2003,0.675769083,0.263149906,0.973036821,-7.320466794,-0.4
01/01/2004,0.88584172,0.459517692,0.699674913,-6.298138482,0.1
01/04/2004,0.620249123,1.139362072,0.570046467,10.95050141,-0.2
01/07/2004,1.09977749,0.650787382,0.555303028,-7.200634651,-0.2
01/10/2004,1.081820549,1.255121752,1.41301583,4.966963872,0
01/01/2005,0.581776831,-1.17935097,1.421460835,-37.92084602,-0.2
01/04/2005,1.128161384,0.945497544,0.505350996,-10.49642601,-0.2
01/07/2005,0.965992712,0.295212526,-0.459588326,-21.72531641,0
01/10/2005,0.296515287,1.272755667,0.965991477,33.40918268,-0.1
01/01/2006,1.108946547,1.926703349,0.935295101,23.44714834,-0.2
01/04/2006,0.505325675,0.244247945,0.59967224,-6.700331089,-0.1
01/07/2006,0.605280835,0.258378199,0.379451997,-10.23954944,-0.1
01/10/2006,0.963099624,1.311031417,0.219967431,8.094919995,-0.1
01/01/2007,0.558010939,0.848367079,0.877774562,9.100932349,0
01/04/2007,0.185168949,0.255744139,1.220330243,-0.566167862,0.2
01/07/2007,0.562009443,0.088780618,0.275153012,-11.10855778,0.1
01/10/2007,0.284406536,0.067964054,0.303984177,-3.553522176,0.3
01/01/2008,-0.266123001,0.277377682,-0.369646379,16.15075064,0.1
01/04/2008,0.162019226,1.813508135,-1.484941304,38.4676646,0.5
01/07/2008,-0.751601259,-2.123958897,-3.349753169,-27.36597255,0.5
01/10/2008,-0.935007195,0.867342488,-4.37149742,34.22373259,1.2
01/01/2009,-0.22611781,-0.429951033,-5.778784427,-5.022485818,1.4
01/04/2009,-0.405843686,1.069271267,-2.890964592,22.77807668,0.8
01/07/2009,0.68751976,-1.137177298,1.491362557,-26.36906666,0.3
01/10/2009,-0.148424523,-0.024644745,1.557405235,3.30455034,0.1
01/01/2010,0.493232202,0.56063381,1.947034028,3.077213944,0
01/04/2010,0.792222394,1.634156838,1.944893036,15.8225281,-0.5
01/07/2010,0.696905813,0.709403799,1.297692998,1.666452349,0.1
01/10/2010,0.659197947,0.559126667,0.331239775,0.465709888,-0.2
01/01/2011,0.424446696,1.013854811,0.559747303,10.69856465,-0.3
01/04/2011,0.221177199,-0.217924057,0.400667517,-4.489587393,0.1
01/07/2011,0.390803685,0.435638479,1.162407873,1.87833058,-0.1
01/10/2011,0.182576961,0.310519351,0.987172631,2.271748599,-0.5
01/01/2012,0.799759203,1.854619074,0.948549952,15.64792838,-0.3
01/04/2012,0.148268324,0.905011579,0.634470002,9.205648808,0
01/07/2012,0.163039695,-0.718402075,0.010197247,-9.289441893,-0.4
01/10/2012,0.447192324,2.732608936,0.523061304,26.00101854,0.1
01/01/2013,0.517198408,-4.084419521,0.779694936,-56.47190972,-0.4
01/04/2013,0.071945196,0.742248589,0.429099423,10.75860987,0
01/07/2013,0.405902734,0.431404472,0.356116407,1.584276287,-0.3
01/10/2013,0.857975926,0.394306687,0.682102999,-5.782606915,-0.5
01/01/2014,0.393157113,1.383321149,0.767357615,14.62587433,0
01/04/2014,1.08895374,1.352927564,1.32862991,5.253322352,-0.6
01/07/2014,1.07028259,1.160578255,0.591088519,2.179274998,-0.2
01/10/2014,1.205426597,1.313011497,0.654030615,1.720209876,-0.3
01/01/2015,0.827267766,1.129292939,-0.767306546,4.019697618,-0.2
01/04/2015,0.792812731,0.749587369,-1.351835433,0.334562214,-0.1
01/07/2015,0.759427331,0.73237066,-0.017771894,0.495779405,-0.3
01/10/2015,0.44682392,0.316749552,-1.314422728,-1.699491042,0
01/01/2016,0.778254317,0.666137372,-0.518921961,-0.075685142,0
01/04/2016,0.715591421,-0.106588495,-0.578695153,-9.386216692,-0.1
01/07/2016,0.634915563,0.447270109,0.458070711,-2.096172111,0.1
01/10/2016,0.618545334,0.598037711,0.328145414,0.108853892,-0.3
01/01/2017,0.593336501,1.192031576,0.584272878,10.17889613,-0.3
01/04/2017,0.593153407,0.664810315,1.3634526,0.783824224,-0.1
01/07/2017,0.584737901,0.579715745,-0.201115116,0.477740105,-0.1
01/10/2017,1.13314559,0.907210403,1.812131114,-1.323096701,-0.1
01/01/2018,0.416962958,1.665725758,0.56437175,17.41552718,-0.1
01/04/2018,0.983111903,0.66182534,1.117423763,-2.723974456,0
01/07/2018,0.853181353,0.806271276,1.256722254,-0.08568609,-0.3
01/10/2018,0.356512028,0.695142221,0.948148046,5.031336597,0.2
01/01/2019,0.282885469,1.100752954,-0.488205865,9.760286569,-0.1
01/04/2019,1.113516703,0.593399498,-0.539949436,-4.264616314,-0.1
